ID,Name,FullName,Age,Height,Weight,PhotoUrl,Nationality,Overall,Potential,Growth,TotalStats,BaseStats,Positions,BestPosition,Club,ValueEUR,WageEUR,ReleaseClause,ClubPosition,ContractUntil,ClubNumber,ClubJoined,OnLoad,NationalTeam,NationalPosition,NationalNumber,PreferredFoot,IntReputation,WeakFoot,SkillMoves,AttackingWorkRate,DefensiveWorkRate,PaceTotal,ShootingTotal,PassingTotal,DribblingTotal,DefendingTotal,PhysicalityTotal,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,STRating,LWRating,LFRating,CFRating,RFRating,RWRating,CAMRating,LMRating,CMRating,RMRating,LWBRating,CDMRating,RWBRating,LBRating,CBRating,RBRating,GKRating,ID_to_Age_ratio,ID_to_Height_ratio,ID_to_Weight_ratio,ID_to_Overall_ratio,Age_to_Height_ratio,Age_to_Weight_ratio,Age_to_Overall_ratio,Height_to_Weight_ratio,Height_to_Overall_ratio,Weight_to_Overall_ratio
158023,L. Messi,Lionel Messi,35,169,67,https://cdn.sofifa.net/players/158/023/23_60.png,Argentina,91,91,0,2190,452,RW,CAM,Paris Saint-Germain,54000000,195000,99900000,RW,2023.0,30.0,2021,False,Argentina,RW,10.0,Left,5,4,4,Low,Low,81,89,90,94,34,64,84,90,70,91,88,95,93,93,90,93,87,76,91,92,95,86,68,70,68,91,44,40,93,94,75,96,20,35,24,6,11,15,14,8,90,90,91,91,91,90,91,91,88,91,67,66,67,62,53,62,22,4514.942857142857,935.0473372781065,2358.5522388059703,1736.5164835164835,0.20710059171597633,0.5223880597014925,0.38461538461538464,2.5223880597014925,1.8571428571428572,0.7362637362637363
165153,K. Benzema,Karim Benzema,34,185,81,https://cdn.sofifa.net/players/165/153/23_60.png,France,91,91,0,2147,455,"CF,ST",CF,Real Madrid CF,64000000,450000,131199999,CF,2023.0,9.0,2009,False,France,ST,19.0,Right,4,4,4,Medium,Medium,80,88,83,87,39,78,75,92,90,89,88,87,82,73,76,91,79,80,78,92,72,87,79,82,82,80,63,39,92,89,84,90,43,24,18,13,11,5,5,7,91,87,89,89,89,87,91,89,84,89,67,67,67,63,58,63,21,4857.441176470588,892.7189189189189,2038.9259259259259,1814.868131868132,0.1837837837837838,0.41975308641975306,0.37362637362637363,2.2839506172839505,2.032967032967033,0.8901098901098901
188545,R. Lewandowski,Robert Lewandowski,33,185,81,https://cdn.sofifa.net/players/188/545/23_60.png,Poland,91,91,0,2205,458,ST,ST,FC Barcelona,84000000,420000,172200000,ST,2025.0,9.0,2022,False,Poland,ST,9.0,Right,5,4,4,High,Medium,75,91,79,86,44,83,71,94,91,84,89,85,79,85,70,89,76,75,77,93,82,91,85,76,87,84,81,49,94,81,90,88,35,42,19,15,6,12,8,10,91,85,88,88,88,85,88,86,83,86,67,69,67,64,63,64,22,5713.484848484848,1019.1621621621622,2327.716049382716,2071.923076923077,0.1783783783783784,0.4074074074074074,0.3626373626373626,2.2839506172839505,2.032967032967033,0.8901098901098901
192985,K. De Bruyne,Kevin De Bruyne,31,181,70,https://cdn.sofifa.net/players/192/985/23_60.png,Belgium,91,91,0,2303,483,"CM,CAM",CM,Manchester City,107500000,350000,198900000,CM,2025.0,17.0,2015,False,Belgium,RF,7.0,Right,4,5,4,High,High,74,88,93,87,64,77,94,85,55,93,83,88,89,83,93,90,76,73,76,91,78,92,63,88,74,91,75,66,88,94,83,89,68,65,53,15,13,5,10,13,86,88,87,87,87,88,91,91,91,91,82,82,82,78,72,78,24,6225.322580645161,1066.2154696132598,2756.9285714285716,2120.714285714286,0.1712707182320442,0.44285714285714284,0.34065934065934067,2.585714285714286,1.989010989010989,0.7692307692307693
231747,K. Mbappé,Kylian Mbappé,23,182,73,https://cdn.sofifa.net/players/231/747/23_60.png,France,91,95,4,2177,470,"ST,LW",ST,Paris Saint-Germain,190500000,230000,366700000,ST,2024.0,7.0,2018,False,France,ST,10.0,Right,4,4,5,High,Low,97,89,80,92,36,76,78,93,72,85,83,93,80,69,71,91,97,97,93,93,81,88,77,87,76,82,64,38,92,83,80,88,26,34,32,13,5,7,11,6,92,90,90,90,90,90,92,92,84,92,70,66,70,66,57,66,21,10075.95652173913,1273.3351648351647,3174.6164383561645,2546.6703296703295,0.12637362637362637,0.3150684931506849,0.25274725274725274,2.493150684931507,2.0,0.8021978021978022
209331,M. Salah,Mohamed Salah,30,175,71,https://cdn.sofifa.net/players/209/331/23_60.png,Egypt,90,90,0,2226,471,RW,RW,Liverpool,115500000,270000,213700000,RW,2023.0,11.0,2017,False,Not in team,,,Left,4,3,4,High,Medium,90,89,82,90,45,75,80,93,59,84,84,90,84,69,77,88,89,91,90,93,91,83,69,87,75,85,63,55,92,85,86,92,38,43,41,14,14,9,11,14,89,88,88,88,88,88,90,90,85,90,74,71,74,70,61,70,25,6977.7,1196.1771428571428,2948.323943661972,2325.9,0.17142857142857143,0.4225352112676056,0.3333333333333333,2.464788732394366,1.9444444444444444,0.7888888888888889
192119,T. Courtois,Thibaut Courtois,30,199,96,https://cdn.sofifa.net/players/192/119/23_60.png,Belgium,90,91,1,1334,473,GK,GK,Real Madrid CF,90000000,250000,191300000,GK,2026.0,1.0,2018,False,Belgium,GK,1.0,Left,4,3,1,Medium,Medium,84,89,75,90,46,89,14,14,13,33,12,13,19,20,35,23,42,52,63,84,45,56,68,38,70,17,23,15,13,44,27,66,20,18,16,84,89,75,89,90,34,29,31,31,31,29,35,34,35,34,32,34,32,32,32,32,90,6403.966666666666,965.4221105527638,2001.2395833333333,2134.6555555555556,0.1507537688442211,0.3125,0.3333333333333333,2.0729166666666665,2.2111111111111112,1.0666666666666667
167495,M. Neuer,Manuel Neuer,36,193,93,https://cdn.sofifa.net/players/167/495/23_60.png,Germany,90,90,0,1535,501,GK,GK,FC Bayern München,13500000,72000,22300000,GK,2024.0,1.0,2011,False,Germany,GK,1.0,Right,5,4,1,Medium,Medium,87,88,91,88,56,91,15,13,25,60,11,30,14,11,68,46,54,60,51,87,35,68,77,43,80,16,29,30,12,70,47,70,17,10,11,87,88,91,91,88,43,40,43,43,43,40,50,47,53,47,39,46,39,38,37,38,90,4652.638888888889,867.8497409326425,1801.021505376344,1861.0555555555557,0.18652849740932642,0.3870967741935484,0.4,2.075268817204301,2.1444444444444444,1.0333333333333334
20801,Cristiano Ronaldo,C. Ronaldo dos Santos Aveiro,37,187,83,https://cdn.sofifa.net/players/020/801/23_60.png,Portugal,90,90,0,2159,445,ST,ST,Manchester United,41000000,220000,77900000,SUB,2023.0,7.0,2021,False,Portugal,ST,7.0,Right,5,4,5,High,Low,81,92,78,85,34,75,80,93,90,80,86,85,81,79,75,88,79,83,77,94,67,93,95,76,77,90,63,29,95,76,90,95,24,32,24,7,11,15,14,11,90,86,88,88,88,86,88,87,81,87,65,62,65,61,56,61,23,562.1891891891892,111.23529411764706,250.6144578313253,231.12222222222223,0.19786096256684493,0.4457831325301205,0.4111111111111111,2.253012048192771,2.077777777777778,0.9222222222222223
203376,V. van Dijk,Virgil van Dijk,30,193,92,https://cdn.sofifa.net/players/203/376/23_60.png,Netherlands,90,90,0,2117,461,CB,CB,Liverpool,98000000,230000,181300000,CB,2025.0,4.0,2018,False,Netherlands,CB,4.0,Right,4,3,2,Medium,High,81,60,71,72,91,86,53,52,87,79,45,70,60,70,86,76,68,91,61,89,53,81,88,74,93,64,85,90,47,65,62,90,92,92,86,13,10,13,11,11,74,68,70,70,70,68,73,73,79,73,83,88,83,85,90,85,23,6779.2,1053.761658031088,2210.608695652174,2259.733333333333,0.15544041450777202,0.32608695652173914,0.3333333333333333,2.097826086956522,2.1444444444444444,1.0222222222222221
202126,H. Kane,Harry Kane,28,188,89,https://cdn.sofifa.net/players/202/126/23_60.png,England,89,89,0,2193,453,ST,ST,Tottenham Hotspur,105500000,240000,200500000,ST,2024.0,10.0,2010,False,England,ST,9.0,Right,4,5,3,High,High,68,91,83,82,47,82,80,93,85,84,87,83,82,65,85,84,67,69,68,92,71,92,79,83,83,86,80,44,94,87,92,92,50,36,38,8,10,11,14,11,89,84,86,86,86,84,88,86,84,86,69,71,69,66,64,66,23,7218.785714285715,1075.1382978723404,2271.078651685393,2271.078651685393,0.14893617021276595,0.3146067415730337,0.3146067415730337,2.1123595505617976,2.1123595505617976,1.0
190871,Neymar Jr,Neymar da Silva Santos Jr.,30,175,68,https://cdn.sofifa.net/players/190/871/23_60.png,Brazil,89,89,0,2157,446,LW,LW,Paris Saint-Germain,99500000,200000,184100000,LW,2025.0,10.0,2017,False,Not in team,,,Right,5,5,5,High,Medium,87,83,85,93,37,61,84,83,63,85,86,95,88,87,81,94,88,86,93,88,82,79,62,79,52,81,63,37,86,89,91,93,35,32,29,9,9,15,15,11,85,88,88,88,88,88,89,89,85,89,69,66,69,64,53,64,23,6362.366666666667,1090.6914285714286,2806.926470588235,2144.61797752809,0.17142857142857143,0.4411764705882353,0.33707865168539325,2.573529411764706,1.9662921348314606,0.7640449438202247
200104,H. Son,Heung Min Son,29,183,78,https://cdn.sofifa.net/players/200/104/23_60.png,Korea Republic,89,89,0,2141,456,"LW,LM",LW,Tottenham Hotspur,101000000,240000,191900000,LW,2025.0,7.0,2015,False,Not in team,,,Right,4,5,4,High,Medium,88,89,82,86,42,69,83,91,68,84,79,87,85,74,74,84,85,90,85,91,76,88,60,88,64,89,62,39,91,84,73,89,47,34,33,11,13,13,6,10,88,87,87,87,87,87,89,89,83,89,71,67,71,67,57,67,22,6900.137931034483,1093.464480874317,2565.4358974358975,2248.3595505617977,0.15846994535519127,0.3717948717948718,0.3258426966292135,2.3461538461538463,2.056179775280899,0.8764044943820225
200145,Casemiro,Carlos Henrique Venancio Casimiro,30,185,84,https://cdn.sofifa.net/players/200/145/23_60.png,Brazil,89,89,0,2209,460,CDM,CDM,Manchester United,86000000,240000,163400000,SUB,2026.0,18.0,2022,False,Not in team,,,Right,3,3,2,Medium,High,63,73,75,72,87,90,58,64,79,84,62,67,62,74,83,78,60,66,61,87,66,88,85,90,90,81,91,88,75,75,66,84,87,88,87,13,14,16,12,12,78,71,75,75,75,71,78,76,84,76,83,89,83,84,89,84,24,6671.5,1081.8648648648648,2382.6785714285716,2248.820224719101,0.16216216216216217,0.35714285714285715,0.33707865168539325,2.2023809523809526,2.0786516853932584,0.9438202247191011
200389,J. Oblak,Jan Oblak,29,188,87,https://cdn.sofifa.net/players/200/389/23_60.png,Slovenia,89,91,2,1402,479,GK,GK,Atlético de Madrid,85500000,100000,181700000,GK,2023.0,13.0,2014,False,Not in team,,,Right,5,3,1,Medium,Medium,86,90,78,89,49,87,13,11,15,43,13,12,13,14,40,30,43,58,65,87,49,59,77,41,78,12,34,21,11,65,11,68,27,12,18,86,90,78,87,89,36,32,34,34,34,32,41,37,41,37,35,40,35,35,36,35,90,6909.9655172413795,1065.8989361702127,2303.32183908046,2251.561797752809,0.15425531914893617,0.3333333333333333,0.3258426966292135,2.160919540229885,2.1123595505617976,0.9775280898876404
208722,S. Mané,Sadio Mané,30,174,69,https://cdn.sofifa.net/players/208/722/23_60.png,Senegal,89,89,0,2188,462,"LM,CF",LM,FC Bayern München,99500000,145000,164200000,ST,2025.0,17.0,2022,False,Not in team,,,Right,4,4,4,High,Medium,90,83,80,88,44,77,78,86,84,84,75,88,77,64,71,86,91,90,93,91,88,83,87,85,72,78,75,35,90,84,75,84,42,42,38,10,10,15,7,14,89,86,87,87,87,86,89,89,82,89,71,68,71,68,62,68,22,6957.4,1199.551724137931,3024.9565217391305,2345.191011235955,0.1724137931034483,0.43478260869565216,0.33707865168539325,2.5217391304347827,1.9550561797752808,0.7752808988764045
210257,Ederson,Ederson Santana de Moraes,28,188,86,https://cdn.sofifa.net/players/210/257/23_60.png,Brazil,89,91,2,1583,502,GK,GK,Manchester City,88000000,210000,169400000,GK,2026.0,31.0,2017,False,Not in team,,,Left,3,3,1,Medium,Medium,87,82,93,88,64,88,20,14,14,61,18,23,15,20,66,40,64,63,60,88,48,70,66,41,78,18,38,27,20,70,51,70,29,15,8,87,82,93,88,88,43,41,43,43,43,41,50,47,52,47,40,47,40,39,38,39,90,7509.178571428572,1118.3882978723404,2444.8488372093025,2362.438202247191,0.14893617021276595,0.32558139534883723,0.3146067415730337,2.186046511627907,2.1123595505617976,0.9662921348314607
212622,J. Kimmich,Joshua Kimmich,27,177,75,https://cdn.sofifa.net/players/212/622/23_60.png,Germany,89,90,1,2283,473,"CDM,RB",CDM,FC Bayern München,105500000,130000,182000000,CDM,2025.0,6.0,2015,False,Germany,CDM,6.0,Right,4,4,3,High,Medium,68,72,87,84,83,79,91,68,72,87,69,82,85,69,90,85,77,60,84,88,84,78,79,94,68,83,89,84,80,85,44,85,85,85,78,8,15,7,15,15,80,81,80,80,80,81,85,86,89,86,87,89,87,86,84,86,24,7874.888888888889,1201.2542372881355,2834.96,2389.0112359550562,0.15254237288135594,0.36,0.30337078651685395,2.36,1.9887640449438202,0.8426966292134831
212831,Alisson,Alisson Ramses Becker,29,191,91,https://cdn.sofifa.net/players/212/831/23_60.png,Brazil,89,90,1,1437,489,GK,GK,Liverpool,79000000,190000,152100000,GK,2027.0,1.0,2018,False,Not in team,,,Right,3,3,1,Medium,Medium,86,85,85,89,54,90,17,13,29,60,20,27,19,18,58,40,58,49,40,87,37,64,52,32,78,14,27,11,13,66,23,68,15,19,16,86,85,85,90,89,42,38,41,41,41,38,48,45,49,45,36,42,36,35,35,35,90,7339.0,1114.2984293193717,2338.802197802198,2391.3595505617977,0.1518324607329843,0.31868131868131866,0.3258426966292135,2.098901098901099,2.146067415730337,1.0224719101123596
215914,N. Kanté,N'Golo Kanté,31,168,70,https://cdn.sofifa.net/players/215/914/23_60.png,France,89,89,0,2154,462,"CDM,CM",CDM,Chelsea,72000000,220000,133199999,CM,2023.0,7.0,2016,False,France,CDM,13.0,Right,4,3,2,Medium,High,72,66,74,81,87,82,68,65,54,82,56,78,49,49,76,81,77,68,78,93,92,71,75,95,72,65,93,91,72,77,54,84,90,93,86,15,12,10,7,10,75,76,76,76,76,76,80,81,84,81,87,89,87,87,87,87,23,6964.967741935484,1285.202380952381,3084.4857142857145,2426.0,0.18452380952380953,0.44285714285714284,0.34831460674157305,2.4,1.8876404494382022,0.7865168539325843
239818,Rúben Dias,Rúben Santos Gato Alves Dias,25,187,82,https://cdn.sofifa.net/players/239/818/23_60.png,Portugal,88,91,3,1894,412,CB,CB,Manchester City,107500000,230000,206900000,CB,2027.0,3.0,2020,False,Portugal,CB,4.0,Right,3,4,2,Medium,High,63,39,66,68,88,88,54,29,87,82,32,64,46,48,76,74,57,67,60,89,56,74,78,83,89,26,92,85,39,51,45,81,90,89,85,7,8,13,7,12,64,59,60,60,60,59,65,67,73,67,81,86,81,83,90,83,21,9592.72,1282.4491978609626,2924.609756097561,2725.2045454545455,0.13368983957219252,0.3048780487804878,0.2840909090909091,2.2804878048780486,2.125,0.9318181818181818
239085,E. Haaland,Erling Haaland,21,195,94,https://cdn.sofifa.net/players/239/085/23_60.png,Norway,88,94,6,2120,461,ST,ST,Manchester City,148000000,220000,303400000,ST,2027.0,9.0,2022,False,Norway,ST,9.0,Left,4,3,3,High,Medium,89,91,65,80,49,87,47,94,79,74,88,78,77,62,53,82,82,94,76,88,72,94,74,81,93,87,85,43,89,74,76,85,44,53,29,7,14,13,11,7,90,80,84,84,84,80,83,80,76,80,65,67,65,64,65,64,22,11385.0,1226.076923076923,2543.4574468085107,2716.875,0.1076923076923077,0.22340425531914893,0.23863636363636365,2.074468085106383,2.215909090909091,1.0681818181818181
